destination,Afghanistan,Albania,Algeria,American_Samoa,Andorra,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia_(Plurinational_State_of),Bosnia_and_Herzegovina,Botswana,Brazil,British_Virgin_Islands,Brunei_Darussalam,Bulgaria,Burkina_Faso,Burundi,Cape_Verde,Cambodia,Cameroon,Canada,Cayman_Islands,Central_African_Republic,Chad,Channel_Islands,Chile,China,Hong_Kong,Macao,Colombia,Comoros,Congo,Cook_Islands,Costa_Rica,Côte_d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem._Rep._Korea,Democratic_Republic_of_the_Congo,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland_Islands,Faeroe_Islands,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle_of_Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao_PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall_Islands,Mauritania,Mexico,Micronesia,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New_Caledonia,New_Zealand,Nicaragua,Niger,Nigeria,Niue,Macedonia,Northern_Mariana_Islands,Norway,Oman,Pakistan,Palau,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Korea,Moldova,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Pierre_and_Miquelon,Saint_Vincent_and_the_Grenadines,Samoa,San_Marino,São_Tomé_and_Principe,Saudi_Arabia,Senegal,Serbia,Sierra_Leone,Singapore,Sint_Maarten,Slovakia,Slovenia,Solomon_Islands,Somalia,South_Africa,South_Sudan,Spain,Sri_Lanka,State_of_Palestine,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad_and_Tobago,Tunisia,Turkey,Turkmenistan,Turks_and_Caicos_Islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_Republic_of_Tanzania,United_States_of_America,United_States_Virgin_Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela_(Bolivarian_Republic_of),Viet_Nam,Wallis_and_Futuna_Islands,Western_Sahara,Yemen,Zambia,Zimbabwe
Equatorial_Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4561,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493,,,,,,,,,,,,,1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,1046,,,,,,,,,,135,,,,192,,,,,,,,,,,1688,,,,,,,,,,,,108,,,,,436,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,351,,,,,,,,,,,,,,772,,,,,,,,,,,,,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,,,,,,,,,,,,,,,,,2457,122,1490,,,,208,,,,,,,,,,,,,,,1524,,,56,526,,,,,,,,,,,241,324
Estonia,26,20,24,,,5,,2,27,687,,98,118,1484,,2,35,1,11119,150,0,,,,2,5,0,93,,,268,,,,9,16,122,,0,,,13,348,0,,27,,4,,3,5,28,16,,20,190,4,3,168,,,3,11,68,1,,,,,7,,1,,3870,536,,,,1642,1823,12,77,,,,10,,,2,,2,201,22,318,12,75,12,87,0,65,626,2,85,10,3752,7,1,9,537,,4703,18,,,5,1,2028,11,1,,8,,,,2,65,,0,50,,,25,2,,1,,41,201,,16,2,,118,,9,,203,,72,,,2,,20,56,790,138,,1,69,905,369,129187,1,1,,,,,,,5,2,22,,9,,121,31,,2,31,,393,21,7,12,2,539,58,10,362,44,,,1,3,15,205,345,,6,21770,7,654,4,642,,5,1091,,11,32,,,5,2,4
Eswatini,,,,,,131,,,,,,55,,,,,,,,,,,,,,,41,,,,,,402,,,,19,,,,,,,,,,,72,,,,,,,,,,570,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,46,,,,,,,,,,,,,,,,,,,9857,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,342,,,,,,,,,,,,,,,,,181,12511,,,,,,,,,,,,,,,,,,,,55,,,,,256,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,1582,,3705,,,,,,,206030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,442910,,395202,,,,39539,,,,,,,,,,,,,,,218,,,,,,,,,,,,,,145,,
Falkland_Islands,,,,,,,,,26,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,,19,,,,,,,,,,,
Faeroe_Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,13,,,,,,13,,,,,,30,,,30,,,,,,22,,,,,,,3547,,,,,,,,,,,36,,,,,,,,,,22,18,,150,,,,,,,,,,242,63,10,,,,,,,,,,,15,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,15,130,72,,,,53,,62,30,,,,,,,,,,,51,,,,,,,,20,,,,,,,76,,,,112,,,,,11,,,,,,,100,,41,,,,,,,,,,,
Fiji,,,,,,,,,,,,1887,,,,,1366,,,,,,,,,,,,,,,,,,,,,,,,,,925,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292,,,,,,,,,,,,,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,,,,,,,,,1824,,,,,,,,,,,,,,,,,,,,296,,,,,,,,,,,703,,,,,,,,,,,,,,,,1332,,,,,,,,,341,,,,,,184,,,,,,,
Finland,5017,433,1009,,1,532,,,476,114,,1337,732,152,9,24,2436,12,405,732,1,22,4,3,177,842,18,1578,,2,2407,18,65,13,330,980,1914,,3,8,,527,11725,,,1272,3,146,,78,156,274,574,,202,263,4,1893,1193,8,6,202,232,1367,77,17,165,53016,,2385,,,11,,2932,,12,836,85,8045,1724,1434,,,,90,109,8,23,12,75,2672,196,6669,601,7225,12431,714,,923,2993,95,1556,345,316,1599,,155,54,53,2044,672,0,131,247,0,1250,118,17,64,530,17,49,,27,928,,8,65,4,,2523,83,1444,115,,2970,1784,,254,126,26,2704,,,,2077,12,2752,,28,12,29,607,3995,5148,672,,19,689,202,3203,14922,563,1,4,,2,3,,,406,216,191,160,249,,232,64,6,12497,1040,,3318,1173,62,1127,1,39644,1262,1714,53,11485,,95,2,44,807,7863,26,,236,1990,176,6887,656,5722,,126,164,1,259,7438,,,80,237,113
France,6507,6964,1488349,1,1020,22143,10,63,13466,19851,11,8684,10904,4276,46,166,7723,79,3536,153018,9,21235,118,149,3273,14499,41,59715,,50,26431,9092,1941,23189,65893,84550,26773,,17391,7716,,14981,114475,535,17,28326,38108,72271,3,782,93558,9253,4972,,1003,8989,63,79812,5786,6835,6701,3631,4302,32182,1158,404,3128,1201,21,9024,,3,162,3814,,,20576,1982,7888,208540,6965,13210,13,,,3114,31424,3188,4910,77330,609,11458,398,49996,5145,23705,6366,9737,13,9567,324282,537,22236,1500,2686,1818,9,762,749,44338,3498,49060,50,816,2445,28,3462,16092,125247,110,2639,78597,517,,18482,13086,3,25951,1483,1459,6,963774,1341,490,178,,1377,40459,,2036,672,5723,5998,,4668,,4233,112,24736,,530,27,1073,12152,15836,100587,649528,53,153,21535,6823,117373,66569,6442,3,4940,,29,18,228,232,2588,122616,88111,1352,2374,,5437,2570,3,3281,5388,,286484,49790,1032,8008,25364,9454,99102,17432,253,18881,12,24718,99,427,404246,309406,218,8,603,16519,815,166907,669,56076,1,2533,1146,769,6592,130894,,1091,506,358,729
