destination,Afghanistan,Albania,Algeria,American_Samoa,Andorra,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia_(Plurinational_State_of),Bosnia_and_Herzegovina,Botswana,Brazil,British_Virgin_Islands,Brunei_Darussalam,Bulgaria,Burkina_Faso,Burundi,Cape_Verde,Cambodia,Cameroon,Canada,Cayman_Islands,Central_African_Republic,Chad,Channel_Islands,Chile,China,Hong_Kong,Macao,Colombia,Comoros,Congo,Cook_Islands,Costa_Rica,Côte_d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem._Rep._Korea,Democratic_Republic_of_the_Congo,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland_Islands,Faeroe_Islands,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle_of_Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao_PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall_Islands,Mauritania,Mexico,Micronesia,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New_Caledonia,New_Zealand,Nicaragua,Niger,Nigeria,Niue,Macedonia,Northern_Mariana_Islands,Norway,Oman,Pakistan,Palau,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Korea,Moldova,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Pierre_and_Miquelon,Saint_Vincent_and_the_Grenadines,Samoa,San_Marino,São_Tomé_and_Principe,Saudi_Arabia,Senegal,Serbia,Sierra_Leone,Singapore,Sint_Maarten,Slovakia,Slovenia,Solomon_Islands,Somalia,South_Africa,South_Sudan,Spain,Sri_Lanka,State_of_Palestine,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad_and_Tobago,Tunisia,Turkey,Turkmenistan,Turks_and_Caicos_Islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_Republic_of_Tanzania,United_States_of_America,United_States_Virgin_Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela_(Bolivarian_Republic_of),Viet_Nam,Wallis_and_Futuna_Islands,Western_Sahara,Yemen,Zambia,Zimbabwe
Guatemala,,,,,,,,,554,,,70,,,,,,,,,916,,,,136,,,240,,,,,,,,,397,,,,,301,657,,,1156,,,,1162,,,660,,,,,,,,,109,167,32,19198,,,,,,,,,,258,,,,,640,,,398,,,,,,,14,8387,,,,40,18,,,,131,368,,147,,,,,,,,,25,,,,,,,,,,,,,,17540,,,,,,,,,,,,140,,,8561,,,,,,,,26,,300,,59,457,67,,29,101,,1786,,,,,,,,,,,,32,,,,,,,,,,,,1320,,46,,,47,154,78,,,,,,,,25,,,,,,223,,8643,,140,,,283,,,,,,
Guinea,3,11,7044,,6,115,,4452,112,9,,10,1,5,13,3,1,11,,40,2,408,,3,5,2,50,14,,,3,588,39,34,9,196,46,,18,389,,11,169,,,2623,761,122,,118,7968,19,1786,,,,1232,77,66,18,13,2,2,27,4,10695,23,,5,12,,,3,6,248,,74,281,,27,588,,,,,,,4540,,25,298,,,49,,,,,,11,82,,54,2,,1999,3,,,,23,156,32,2765,44,4,,,10,17,1,46991,,6,1154,,3,,,,,333,19,2,3,18,25,38,,2,5,193,381,,,,2,,19,9,,16,0,,3,1,14,,,426,3,5,39,39,,,,30,28,,33,31,2139,2,8683,,,,28,12,6,1251,3,1187,2,,7,,3,17,8,1,51,,533,972,,533,35,,,1,9,,8,2,301,,1,1,,,5,,,,0,4
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,1495,,,,,,,,,4938,,,,,,,,,,,,,,,,,,,,,,,,,,,898,,,,,,,,,,,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,,,,,,,,,,,,,,,,11087,,812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,,,,,,,,,,,
Guyana,,,,,,,,19,,,,,,,15,,,268,,,,,,,,,,2135,,,,,,,,,400,,,,,,1149,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,368,,,,,,,,,,,,,,,,,,,,4595,,,,,,,,,880,,,,,,,,574,,1255,,,,,2099,,,,,,
Haiti,,,,,,,,,437,,,,158,,,,,,,,,,,,,,,,,,,,,,,,591,,,,,312,326,,,780,,,,256,,,1133,,,,,,,,,2272,,,,,,,,,,,,,416,,,,,845,,,,,,,,,,,,,,,,,,,,,1157,,206,,,,,,,,,,,,,,,,,,,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,1459,,,,,,,,,,,,,,,,,,,,,,,,,,1224,,,,,,354,,,,,,,,,,,,,,,,,1516,,268,,,2369,,,,,,
Honduras,,,,,,,,,191,,,,,,,,,,,25,365,,,,147,,,237,,,,,,,,,349,90,,,,309,596,,,868,,,,861,,,612,,,,62,,,,,135,461,,8853,,,,,,,,,,144,,,,,292,,,,,,4607,,,,43,,,,,,,,,,90,260,27,139,40,,,,,,,,,,,,,,,,,,,,,,1567,,,,,,,,,,,,91,,,7767,,,,,,,,,,398,,35,384,,,,129,,68,,,25,,,,,,,,,,,,,,,,,,,,,525,,154,,,31,61,,,,,,,,,,,,,,,102,,6799,,66,,,102,,,,,,
Hungary,1350,243,731,,,83,,,393,184,,968,9297,214,6,14,71,2,212,1981,3,9,1,,49,250,3,1733,,,1383,,,,56,266,2382,,6,1,,141,14829,,,216,,82,,46,37,2054,576,,295,1555,,38,465,,,35,114,1351,15,,30,158,,135,,,,771,4166,,7,11,204,30178,124,1219,,3,,17,40,3,8,,10,,133,1187,225,2135,888,1197,,1664,4735,26,1521,514,516,101,,259,134,49,176,394,3,35,434,4,193,178,34,,99,21,81,,5,449,,5,921,46,,217,21,13,20,,55,3289,,187,21,7,1547,,214,,1238,21,359,,29,4,16,201,301,3227,465,,56,1240,222,203407,3702,19,0,,,3,,,,398,36,39691,33,82,,21085,412,,603,355,,1912,65,74,178,,1604,2648,1642,15,814,,11,,8,291,2218,,,38,41990,281,7928,66,7777,,66,137,,217,3305,,,289,17,35
Iceland,13,45,40,,2,34,,,46,8,1,121,126,13,6,1,4,1,41,120,0,1,3,,14,150,,139,,0,241,1,,33,1,7,277,,,,,77,582,,,189,,,,7,1,169,57,,5,246,,2,3283,0,2,32,32,29,13,9,7,129,,71,,331,1,178,538,,,11,22,1649,62,45,65,,,37,18,,20,12,35,218,,305,129,63,57,105,,37,260,18,98,13,21,90,,2,1,,735,30,,1,4,,1499,142,2,4,35,2,8,,,92,,1,20,,,166,23,1,35,0,98,288,,50,7,0,72,,40,,1036,,38,,6,1,4,75,1565,10967,576,0,2,37,21,400,364,2,,,,,,,,8,21,307,15,17,,243,32,1,2,81,,540,164,,,0,1920,158,35,2,1196,,5,1,3,28,73,1,,37,274,6,1307,28,2019,,9,10,,39,613,,,0,8,11
India,12924,,,,,,,,,,,662,,,,,3155579,,,,,,,6642,,,,,,25370,,,,,,,1640,,,,,,110098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,1140,,,,,2145,,,,,,,,,,,,,,,818,1704,498,,,,,,715,,2202,2378,,6075,,,,,,,,,,,,,12433,,,,,,,,,,,,,50552,,,542573,,,,,,645,,,,,,1101031,,,,,,,,156,,,,,,1346,,,,,,,,,4473,,,,4225,,,,,,,,,155088,,,,,,,,,,,,,,105,,,711,,11977,4862,,2719,,,,,,565,,,,679,
Indonesia,,,,,,,,,,,,10844,,,,,,,,,,,,,,,,,,,,,,,,,2144,,,,,,72302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11976,,,,,,,,,18909,11976,,,,,,,,,,,2263,,,,,,2263,,,,,,,,,,,,,,,,,6950,,,,,,,,,,,8223,,,,,,4025,,,,,31940,,,,,,,,,,,,2263,,,,22525,,,,,,,,,,,,,,,2263,,22525,22525,,,,,,,,,,,31304,,12077,,,,,,,,,,,
Iran,2348369,,,,,,,,,2479,,,,12007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447,4901,,,,,,,,,,,,,,,,,,
Iraq,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14364,,,806,,,,,,,,,,,,,,,,,,,,,,,,,,,232,,14406,,,,,,,,10336,,,,400,,,,1522,,,,,,,,,,,,,200,,,,,,,586,,,,,,,,,,,,,,,,,682,,,,,,,,,,,,,,273,,,,,,,,,674,,,,,,,,,414,,295,,,12051,3792,,,,252056,,,,,,,312,17515,,,,,288,,,,,,,,,,,,2001,,
Ireland,148,297,588,,2,480,1,2,327,53,7,6601,784,50,27,82,3232,18,611,1638,2,34,57,7,17,640,80,10292,1,16,1974,9,48,4,11,346,5323,25,8,10,,142,12683,1887,,,0,2519,,11,133,506,83,,288,6081,131,52,980,1,1,10,39,532,27,0,38,2744,21,154,4,3,14,966,11147,1,4,57,255,14368,504,636,1,14,,125,50,1,29,4,12,8206,38,19764,128,445,453,,,220,7910,120,529,111,259,482,0,201,32,34,22126,133,39,107,439,2,38572,156,12,76,4186,29,372,0,8,305,0,7,318,0,1,274,39,64,38,,136,4980,7,2271,16,129,21894,,655,,305,49,9219,,16,13,27,127,15312,127507,2486,,35,193,3787,19919,6570,80,2,7,0,2,13,0,,429,22,0,196,216,,11838,210,2,531,8983,,7751,238,67,588,12,1868,553,507,21,535,3,114,1,111,100,489,4,1,149,4564,201,267364,125,30690,,55,92,1,128,635,,1,31,340,3098
Isle_of_Man,,,,,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807,,,,,,,,,,,,,,,,,,,,,,,33553,,227,,,,,,,,,,,
Israel,2539,,45680,,,,,,39343,,,3266,5064,13529,,,,,23119,5993,,,,,,,,8932,,,16633,,,,,,8132,,,,,3386,600,,,2762,,,,,,,,,,,,,1916,,,,,21100,,,,,,80474,,,,308,41847,,,,9317,23656,,3085,,,,,,,,,,12495,,18965,,52322,67791,,,,5225,,,,13632,,,,2519,,3931,6232,,,17273,,3869,,,,,,,,,2601,,,,,,163113,,,,,,5110,,,,,,,,,,,,,,,,2440,,59286,,,,,10911,103678,114630,,,,,,,,,,,,,,,,,,,11721,,1890,,,,,688,3853,9483,1885,,,,,,23543,27960,2301,,,135112,,21869,,79082,,6378,22316,,373,,,,30869,,
Italy,7505,446571,21990,,106,1819,,796,70140,1359,,19386,15788,700,260,294,105481,143,31468,45458,56,2538,,39,15664,11359,46,99965,,33,57232,11714,1009,6076,1319,11327,24648,,223,527,,12138,200372,,,38859,29,3307,,1478,25176,23566,33739,,604,10404,110,6010,3043,85,296,42011,84513,108907,13070,119,13580,1408,30,29545,,,38,2685,127941,,372,3322,13386,214330,46258,17023,,15,,2121,4074,865,73,714,2484,12672,183,139115,3161,14925,3913,3526,,3703,,345,8127,2912,4043,3663,5,538,1423,250,3226,6946,24,1808,35087,113,5661,4717,2342,168,610,5975,1859,,697,8565,,1299,292,2342,,424080,1433,452,85,6,1885,12795,,862,1194,971,58477,,72699,,1652,53,89474,5,1124,617,2651,113226,143234,114950,6224,,458,3803,171345,1016008,79300,774,4,20,,19,55,3254,71,971,88019,43435,1372,553,,10643,4576,3,12018,5692,,31013,85313,5027,2861,41,6288,194030,6128,202,9864,99,5104,18,161,101717,19572,225,,953,222938,374,61905,1596,51058,,7196,2518,21,48320,5295,,,267,874,881
Jamaica,,,,,,,,153,,,,,,,662,,,533,,,7,,,,,,,,,,,,,,,,1313,,,,,,,,,,,,,99,,,1791,,,,,,,,137,,,,132,,,,,,,,,,,,,,,,,,,205,,302,,,,,160,,,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,74,,,,,,,,,,,,,,96,328,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299,,,,,,,,4739,,6193,,,,,,,,,,,
Japan,,,,,,,,,2924,,,9843,548,,,,10835,,,685,,,,,,,,173437,,,,,,,3383,,9538,,,,,,714570,,,,,,,,,,,,,,,,574,,,,,1747,,,,,,,,,,678,10672,,,,,6336,2005,,,,,,,,,,,,,26244,35910,4359,,1140,,,3536,,,,,,,,,,,,,,,,,,,,8738,,,,,2141,,,,,,,,,,,,1046,,3152,,,2638,,,,456,,12708,,,,,47721,229595,1653,467,,,457772,,,8092,,,,,,,,,,,,,2444,,,,,,,,2495,13152,,,,1805,1060,,,45379,,,,,,,,,,,,15826,,52271,,,,,,146956,,,,,
Jordan,60,,333,,,,,,,25,,242,113,,,412,11275,,,70,,,,,,58,,102,,24,48,,,,,,316,,,25,,,20150,37,,24,,,,,,25,,,127,23,81,,48,,,,,97716,,,72,,,74,,,,,383,,,,,694,26,59,,,,,,,,,,569,,5733,18344,91,198676,50,,1523,299,,100,,19,,,729,,,,1783,,,18866,,,,,,274,,,,67,,,,,,,580,,23,,,176,193,,61,,,25,,85,,42,617,3157,,,,,,3728,79,,,216,91,35,262,578,,,,,,,,,4884,,56,,,,22,,,738,56,268,295,12110,1969731,5180,,87,193,673705,,100,,,,,251,995,,,,384,203,784,,2539,,,,,30,,,,28645,,
Kazakhstan,,,,,,,,,,9144,,,,48377,,,,,69136,,,,,,,,,,,,,,,,,,,,,,,,2162,,,,,,,,,,,,,,61600,,,,,,,,,,,1113,,,,,,,,,,,3275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6734,,1113,,,,,,4386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31916,12048,,2352598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15816,,,,,,,46894,1050,,,338022,,,,,,,281713,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8312,,,,,,,,,,,,,,,,,,,,,,,,,24738,,,,,,,,,2127,,,36889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6330,,,,,,,,,,,,,,,,,488470,112,95765,,,,10266,,,,,,,,,,,,,,,333789,,,,39935,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,40,,,,,,,,,,,
Kuwait,2669,,,,,,,,,,,,,,,1297,350229,,,,,,,,,,,,,,,,,,,,,,,1305,,,,,,,,,,,,,,,,,,,,,,,,387993,,,4725,,,3595,,,,,4810,,,,,,,,,,,,,,,,,,,1061758,99485,,,,,,,,,50399,,,,,,,,11532,,,,,,,,,,,,,,,,,,,,2795,,,,,22678,980,,,,,4441,,,,,,312434,,,,,,181462,,,,623,,,,,,,,,,,,,2077,,,,,,,,,3168,,1726,,36556,14253,45525,,,,21340,,3755,,,,,1784,12297,,,,,24662,9394,,4763,,,,,,,,,65129,,
Kyrgyzstan,,,,,,,,,,2380,,,,4678,,,,,9947,,,,,,,,,,,,,,,,,,,,,,,,271,,,,,,,,,,,,,,1777,,,,,,,,,,,573,,,,,,116,,,,,3270,1820,,,,,,,,,,,,,,,,,,,,,,,,,12940,,,,,,902,,,,,,2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3212,,,,233,2660,482,111753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205,,,,,,,1051,1001,,,26771,,,,,,,9183,,,107,,,,,
Lao_PDR,,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,3428,,,,,,,,13400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3293,,,,,,,,,,,,,,,,,,,,18938,,,,,
Latvia,27,9,15,,0,2,0,1,12,693,1,83,90,1922,,1,5,2,48588,111,,2,,,,7,,21,,,157,,1,0,0,1,120,,0,,,5,268,,,6,,0,,2,3,7,46,,44,137,11,,203,,,1,2,37,,,0,3081,,,,,,170,181,,,0,1317,2424,,42,1,,,1,,,,,,193,29,131,3,35,33,731,,78,249,1,16,4,5931,3,,3,809,,,29,,,3,1,16668,7,0,0,7,2,6,,,13,,,109,,,12,1,,,,16,135,,5,0,,13,,,,325,,24,0,0,,3,7,108,832,48,,1,30,1705,68,136409,1,,,,,,,,5,,10,1,4,,22,6,,5,13,0,148,28,2,3,,324,56,22,536,8,,0,,1,2,108,589,,0,34080,12,2218,2,426,,3,2052,,22,7,,,1,,3
Lebanon,,,,,,,,,,,,,,,,111,3047,,,,,,,,,,,,,,,,,,,,,,,,,,2429,,,,,,,,,,,,,,,,,,,,,83361,,,,,,,,,,,104,,,,,188,,,,,,,,,,,,154,,1548,2730,,120739,,,412,,,,482,,,,197,,,,,,,255,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,167,852,,,,,,1007,,,,,,,,157,,,,,,,,,1319,,,,,,,,,,,72,,3272,515853,589,,,,1230484,,,,,,,,268,,,,104,,212,,686,,,,,,,,,624,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,89,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,23,,4,,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610,,,,,,,,,,,,,,,,,,,,137,,,,85,89,,,,,,,,,,69,69
Liberia,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,253,,,,,56,,,,,,,,,,,,,,38041,,,,,,,,,,,,,,,,,,,,,,,,67,,,816,,213,8113,,,,,,32482,521,,,,,,817,,,,,,,57,,,,,,,,,,,999,,,,,,,,,,1454,,,,,,,,,,,,,,,,68,,,,259,5649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,,14536,,,,,,,,,65,,,,,258,34,,,,,418,,,,,,,,,,263,,517,,,,,,,,,,,
Libya,320,301,3589,,,,,,,255,,748,752,,,968,1250,,761,675,,,,,,329,,255,,,,,,,,,2850,,,860,,,3074,,,,4295,402,,,596,,,,,,,434,770,1425,,,,21004,708,,1983,,,1831,,,,830,5027,,,,,7029,614,2617,,,,,,310,,,,338,,4842,13064,411,68477,,,,6690,,1005,20408,802,335,,10800,,,,11067,,,,,,,,,7921,338,,,357,,,276,,,,4899,,,,,,1770,,,,357,2850,,,,335,1693,2459,,,,,,4410,678,,,1414,715,,596,7246,,,,,,,,,35474,1120,,237,669,,,,,104539,647,1776,726,367,286136,14428,,748,932,27762,678,2850,,,,,3084,2535,237,,,874,2775,7232,264,9885,,,376,,,,,,21380,,
Liechtenstein,,,,,,,,,26,,,,3829,,,,,,,40,,,,,,306,,169,,,14,,,,,,,,,,,,81,,,41,,,,,,118,,,,58,,,16,,,73,,,,,,2,,,,,,8,125,,,,,1787,,46,,,,,,,,,,70,1,27,,,,17,,,860,,,,,,,,,36,,,,,,,,3,,,,,,,,24,,,,4,,,,,,,,75,,,,,,,88,,6,,,,,,,,38,60,424,,,,,29,53,,,,,,,,,,,141,,,,44,109,,,34,,275,,,,,25,12882,,,88,,,,,24,608,,,,38,,67,,129,,,,,,,,,,,
Lithuania,20,,,,,,,,53,579,,41,60,878,,,,,33613,181,,,,,,,,61,,,74,,,,,,29,,,,,,53,,,,,,,,,,,,33,87,,,377,,,,,54,,,,816,,,,,,108,334,,,,656,1628,,55,,,,,,,,,,101,54,,,121,,1465,,18,355,,26,,4477,,,,380,,5630,31,,,,,,,,,,,,,,,,,62,,,,,,,,,166,,,,,15,,,,1418,,91,,,,,,,2167,65,,,,563,211,58511,,,,,,,,,,,,,,,38,,,,,,630,,,,,312,61,,338,,,,,,,64,236,,,12347,35,4306,,554,,25,945,,,35,,,,,
Luxembourg,,300,100,,,,,,39,,,76,967,,,,30,,42,19800,,,,,,2421,,297,,,878,,,1617,,59,236,,,,,57,1054,,,25,,,,,,413,22,,62,906,,97,2535,,115,35,,25,,,,526,,,,,,1302,36180,,,,,14125,,1823,,,,,,,,,,1084,328,193,,231,,1627,,41,20621,,282,,,,,,,,488,35,,,,,599,,,,25,,270,,,27,,,,8543,,244,,,,,30,4463,,22,,,,,346,,175,,,,,,,99,189,3150,94732,,,48,,1739,390,25,,,,,,,,,30,5920,,,,707,483,,,45,,3998,,,,,2059,532,,,173,,,,,134,201,,,,175,,6604,,1095,,,,,25,71,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979,,,,10953,,,,,,,,,,,,,,,,,,,,,,,,,,,,8950,,,,,,,,,,,,,,,,,,,1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8250,,,,,,,,,,,,,,,11395,,,,,,,,,,2210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6576,,,,,,,,,,,,,,,,,54,8174,,,,,,,,,,,,,,,,,,,,,,,1460,9507,,,,,,,,,,,42362,36753
Malaysia,545,,,,,,,,,,,5811,,,,,392295,,,,,,,,,,,,,6657,,,,,15461,,,,,,,,11347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139752,1171677,,1244,,,,,,18004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330851,,,552855,,,2343,,,,,,,,,80224,,,,,,111343,,,,,3747,,,,,,,,,,,,,,,,87031,,,,,1510,,,,7260,,,,,,,,14901,,,,,,,,,,,,10782,,,,,,,,95517,,,,,
Mali,480,1284,480,401,1043,1566,,,,,,,,,,,,,,,,1619,,,,,,,508,,,53939,,,,1806,,,950,602,,1552,3494,,,,,10642,,,169062,990,,,,,1792,2262,,,,,,735,,816,,,,,,,,,5448,346,12008,1257,,,5073,,,374,,,36334,360,,,,,,,,,,,,1351,,,641,,1859,,,,,,,,,1137,1097,,,,,,,,,,7215,,,,,,,789,,,,,,,,,,11552,3694,,,,,,,,,,,,,,,,,,,,387,480,,,,,,,,1471,21005,,2141,828,,,,,,561,,,,,615,,,,,,454,,3895,,,,,,669,,,3079,,895,1444,468,508,,,,,,,,588,
Malta,,106,72,,,,,,14,38,,6006,153,,,,11,,9,230,,,,,,227,,133,,,1253,,,,,,2440,,,,,,495,,,,,,,,,101,,,61,112,,,181,,,,,648,,,929,,,475,,,,109,596,,,,55,1363,93,106,,,,,,,,,,199,,364,30,41,114,377,,15,2166,,62,54,,45,,79,,,106,89,,,1745,,61,,,,54,,,,,,,,,,,309,,,,,,589,,59,,51,471,,41,,91,,253,,,,,38,664,344,79,,,,47,940,1315,,,,,,,,,36,,764,,42,,141,29,,1882,241,,209,23,56,186,,645,143,1488,,148,,,,17,446,318,,,,399,35,14361,,1667,,,27,,,,,,,,49
Marshall_Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,,,,,,,,,,,,,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,,,,,,,,,,,
Mauritania,,,1634,,,,,,66,,,,,,,,,,,60,,551,,,,,,159,,,,,,,,392,50,,,51,,,158,,,,,,,,462,,,,,,,90,,,,,,225,,,,,,,,,,,,,84,,,,206,,,,,,3105,1203,,,,,,,,,112,,,,54,,,,,,,31,,,,118,,,138,,,,,,,104491,,,,,,,,,,342,,,,,,,,,,150,,,,,,,,,,,,,,,,,,69,,,60,,,,,,,,,305,17630,,,,,,,,,,,84,,161,,,,,322,,,,144,,,248,,,,,,68,,,108,,,,,,,,28007,,,
Mexico,,,103,,,54,,,15440,101,,460,531,,,,51,,,898,1968,,,,1622,,,6444,,,261,,,,,41,9616,,,,,6212,8980,,,18736,,,,3174,26,55,12532,,,349,1744,82,267,,,2874,3236,206,10582,,,,,,,,,155,9778,,,,,6728,,264,,,,42850,,,,578,14840,391,,1994,162,289,49,286,,1960,5892,133,3808,43,,68,,,,,35,534,,,,,61,,,,57,,,,,,,,,,,247,,,,,,1328,,109,3982,,146,,,,187,,152,,1636,,536,4800,529,692,578,1136,,1890,,421,1688,,,,,,,,,112,33,61,,49,,109,54,,,204,,22880,,29,,,656,1549,202,,124,,,,28,,286,,,,349,,3588,,739362,,3210,,,16736,85,,,,,
Micronesia,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,75,,,,280,,,,,125,,,,,47,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,172,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7611,,,,,,,,,,,,,,,,,,,,,,,,,,5841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
